label,id,name,description,publisherName,namespacePrefix,majorVersion,minorVersion,patchVersion,buildNumber,releaseState,isDeprecated,isManaged,isPasswordProtected,isSecurityReviewed,salesforceId,salesforceVersionId,isOrgDependent,isValid,packageVersionDescription,packageVersionName,package2ContainerOptions,isBeta,packageType,packageId,packageVersionId,installDate,isOutdated,latestVersion,createdAt,updatedAt
Sales Insights,379163,Sales Insights,This tool creates a secure connection between core Salesforce data and our sales intelligence infrastructure where advanced models surface insights related to an organization's sales process.,Salesforce,OIQ,1,0,0,1,Released,false,true,false,false,03358000000Q8xqAAC,04t58000000SGw3AAG,false,true,,1.0,,false,,282,391,2023-01-17T00:19:35.000Z,false,1.0.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Salesforce Standard Data Model,379164,Salesforce Standard Data Model,This package contains the standard data model for Data Cloud. Visit the link (https://sfdc.co/dcssot) if you receive a version installation error.,Salesforce,ssot,1,69,0,1,Released,false,true,false,false,0335Y000000BLtoQAG,04t5Y0000015oV5QAI,false,true,,1.69,,false,,1523,8791,2024-07-18T08:51:32.000Z,true,1.132.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Security Center Extension,379165,Security Center Extension,"Extend Security Center capabilities with Data Classification, Risk Management, and security model maintenance.",Salesforce,sc_ext,0,1,0,7,Released,false,true,false,false,0335e000000VvBMAA0,04t5e000000WMHrAAO,false,true,"Extend Security Center capabilities with Data Classification, Risk Management, and security model maintenance.",ver 0.1,Managed,false,Managed,6714,22061,2025-03-23T22:09:59.000Z,true,1.2.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Shield Extension,379166,Shield Extension,Extend your Shield Platform Encryption and Field Audit Trail capabilities.,Salesforce,shield_ext,1,2,0,1,Released,false,true,false,true,0335e000000VvBWAA0,04tDm000000kxVoIAI,false,true,Extend your Shield Platform Encryption and Field Audit Trail capabilities. Version 1.2 contains Spring '26 compatibility and bug fixes.,ver 1.2,Managed,false,Managed,6536,21394,2025-03-26T04:01:33.000Z,false,1.2.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Legacy Data Detect,379167,Legacy Data Detect,"Please note that this legacy Data Detect Managed Package(previously called Einstein Data Detect) reaches End of Support on Feb 1st, 2026. To continue receiving support and access upgraded features—including full scan results and 20+ data categories—customers would need to simply assign the Data Detect user permission to relevant users in their org to begin using the new version immediately.",Einstein Data Detect,datadetect,1,113,0,1,Released,false,true,false,true,0335e000000i0ecAAA,04tDm000000Ha6MIAS,false,true,"Please note that this legacy Data Detect Managed Package(previously called Einstein Data Detect) reaches End of Support on Feb 1st, 2026. To continue receiving support and access upgraded features—including full scan results and 20+ data categories—customers would need to simply assign the Data Detect user permission to relevant users in their org to begin using the new version immediately.",Legacy Data Detect - End of Support,,false,,713,19758,2023-01-17T00:19:35.000Z,false,1.113.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Field Spy,379168,Field Spy,,Sonar Software,sonar,1,15,0,1,Released,false,true,false,true,0335e000000rGBTAA2,04tRm000000XMBRIA4,false,true,,ver 1.15.0,Managed,false,Managed,291,11506,2025-10-15T19:07:09.000Z,true,1.16.1.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Salesforce Backup & Restore,379169,Salesforce Backup & Restore,,Salesforce Backup & Restore,bar,2,36,0,1,Released,false,true,false,true,0335f000000dEPhAAM,04tKa000002fJWeIAM,false,true,,2.36,,false,,1427,18478,2023-01-17T00:19:35.000Z,false,2.36.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
SCS Connected App,379170,SCS Connected App,,Salesforce.com,SCSConnectedApp,1,0,0,1,Released,false,true,false,false,0336A0000004OD4QAM,04t6A0000005kkMQAQ,false,true,Integrates Marketing Cloud Social Studio with Salesforce using a connected app.,Summer '17,,false,,330,481,2023-01-17T00:19:35.000Z,false,1.0.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
CDPAdvertising,379171,CDPAdvertising,,Salesforce,cdpactvstrgptnr,3,21,0,1,Released,false,true,false,true,0336S000000spIBQAY,04tKk000000Y1BdIAK,false,true,Adding support for company list activation on LinkedIn,258.12b,,false,,1524,18275,2024-07-18T08:39:09.000Z,true,3.25.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Authenticated and Guest User Access Report and Monitoring,379172,Authenticated and Guest User Access Report and Monitoring,"Authenticated and Guest User Access Report and Monitoring gives you a visual overview of all objects, records, and permissions that the running user has access to. Additionally, it outlines which public groups, permissions sets, if any, the user is a part of - which might impact sharing and record visibility.",Salesforce,uar,3,50,0,1,Released,false,true,false,true,0336g000000Dsz2AAC,04t6g000008fk5yAAA,false,true,"Authenticated and Guest User Access Report and Monitoring gives you a visual overview of all objects, records, and permissions that the running user has access to. Additionally, it outlines which public groups, permissions sets, if any, the user is a part of - which might impact sharing and record visibility.",Authenticated and Guest User Access Report and Monitoring,,false,,1563,3928,2025-12-02T02:55:27.000Z,false,3.50.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Code Builder,379173,Code Builder,,Salesforce,CodeBuilder,1,3,0,16,Released,false,true,false,true,0336g000000NogpAAC,04t6g000008fIj9AAE,false,true,,ver 1.3.0,Managed,false,Managed,364,5994,2023-02-14T21:57:47.000Z,false,1.3.0.16,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
DevOps Center,379174,DevOps Center,,Salesforce,sf_devops,12,2,0,5,Released,false,true,false,true,0336g000000kGMcAAM,04tKf0000000WPPIA2,false,true,,12.2.0,Managed,false,Managed,363,16248,2023-02-15T00:50:51.000Z,true,13.2.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
QLabs_Utilities,379175,QLabs_Utilities,,Q-Branch,qbranch,1,193,0,1,Released,false,true,false,false,0337F0000008YQSQA2,04tGA000005F6iKYAS,false,true,PDWObjectMetadataService Apex class added to fetch all the updatable objects in PDW Config,Spring 2025,,false,,379,13224,2023-01-17T00:19:35.000Z,false,1.193.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
App Limits,379176,App Limits,"Tracks your org’s consumption of limited resources like Data Storage, User Licenses, and Daily API Requests.",App Limits,applimits,1,1,0,1,Released,false,true,false,true,0338c000000xtsnAAA,04t8c000000hYDiAAM,false,true,"Tracks your org’s consumption of limited resources like Data Storage, User Licenses, and Daily API Requests.",Buda,,false,,7846,19385,2024-10-10T05:19:46.000Z,false,1.1.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Sales Cloud,379177,Sales Cloud,,CDP CRM 1,cdp_crm_dk1,1,1,0,1,Released,false,true,false,true,033B000000021ZYIAY,04tB0000000BYKvIAO,false,true,,Spring 2022,,false,,1994,2966,2024-07-26T00:41:48.000Z,true,1.4.0.2,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
updateScreen,379178,updateScreen,,Alex Edelstein,,1,0,0,1,,false,false,false,false,033B00000005eCFIAY,04tB00000006G6iIAE,false,true,,Summer 2018,,false,Unmanaged,452,611,,false,1.0.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
ebikesawsdemo,379179,ebikesawsdemo,,,ebikesaws,1,1,0,1,Released,false,true,false,true,033B0000000YcrIIAS,04tB0000000Zof1IAC,false,true,,1.1,,false,,8737,22063,2023-01-17T10:04:35.000Z,false,1.1.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Engagement_A4S,379180,Engagement_A4S,,Salesforce,lex_engmnt,1,0,0,1,Released,false,true,false,false,033Ws000000XKcfIAG,04tWs000000fSUzIAM,false,true,,1.0,,false,,8389,21029,2026-04-29T22:33:05.000Z,false,1.0.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
TSP Accelerator,379181,TSP Accelerator,,Salesforce Labs,trxsecurity,1,3,0,4,Released,false,true,false,true,033al000006LtIzAAK,04tal000005MDwbAAG,false,true,,v1.3,Managed,false,Managed,8738,22064,2026-02-16T23:59:39.000Z,false,1.3.0.4,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
ProductInterest,379182,ProductInterest,,,,1,0,0,1,,false,false,false,false,033bn0000005AunAAE,04tbn0000009V2zAAE,false,true,,V1,,false,Unmanaged,8739,22065,,false,1.0.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
b2bmaIntegration,379183,b2bmaIntegration,For B2BMA integration with Pardot,Pardot,b2bma,1,7,0,2,Released,false,true,false,false,033f40000004aGxAAI,04t5G000004F39PQAS,false,true,,Pardot Internal Integration,,false,,501,448,2023-01-17T00:19:35.000Z,false,1.7.0.2,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
Own Archive,379184,Own Archive,,obarchive,OB_Archiver,24,24,0,1,Released,false,true,false,true,033f40000006wW7AAI,04tHs000001JTl9IAG,false,true,,Own Data,,false,,504,15052,2025-03-26T21:27:32.000Z,true,24.32.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
SocialCustomerService,379185,SocialCustomerService,,Salesforce.com,SocialService,1,0,0,2,Released,false,true,false,false,033i0000000QSSLAA4,04ti0000000QzQyAAK,false,true,,Winter 2013,,false,,551,1280,2023-01-17T00:19:35.000Z,true,2.1.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
QLabs Org Identifier,379186,QLabs Org Identifier,,Q Branch,,1,0,0,1,,false,false,false,false,033j0000000L5ofAAC,04tj0000000LYXiAAO,false,true,"Use the Keys Google Document to get a unique key.
Manage this package and insert a record

Label = Org Identifier
QLabs Name = Org_Identifier
Identifier__c = value from gdrive doc",QLabs Org Identifier,,false,Unmanaged,559,681,,false,1.0.0.1,2026-05-04T00:41:32.701Z,2026-05-04T00:41:32.701Z
