id,itemId,classFamily,classType,dependentId,createdAt,updatedAt
4663353,355238287,controller,lwc controller,355248505,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663354,355238288,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663355,355238289,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663356,355238291,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663357,355238293,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663358,355238296,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663359,355238297,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663360,355238300,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663361,355238301,controller,page controller,355256874,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663362,355238302,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663363,355238306,controller,component controller,355246193,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663364,355238306,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663365,355238307,controller,page controller,355256839,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663366,355238307,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663367,355238309,asynchronous,future,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663368,355238310,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663369,355238311,controller,lwc controller,355249601,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663370,355238312,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663371,355238313,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663372,355238314,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663373,355238315,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663374,355238316,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663375,355238317,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663376,355238318,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663377,355238319,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663378,355238320,controller,lightning data transfer object,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663379,355238320,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663380,355238321,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663381,355238324,asynchronous,queueable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663382,355238327,controller,lwc controller,355248607,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663383,355238327,controller,lwc controller,355249790,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663384,355238327,controller,lwc controller,355249793,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663385,355238327,controller,lwc controller,355249796,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663386,355238328,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663387,355238329,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663388,355238330,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663389,355238331,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663390,355238332,asynchronous,future,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663391,355238333,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663392,355238337,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663393,355238363,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663394,355238524,controller,javascript controller,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663395,355238589,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663396,355238635,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663397,355238636,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663398,355238637,workflow,invocable method,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663399,355238662,controller,page controller,355256855,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663400,355238663,controller,lwc controller,355248785,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663401,355238664,controller,page controller,355256857,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663402,355238721,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663403,355238757,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663404,355238812,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663405,355238814,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663406,355238882,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663407,355238933,controller,javascript controller,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663408,355239257,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663409,355239257,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663410,355239273,controller,javascript controller,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663411,355239284,controller,javascript controller,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663412,355239302,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663413,355240216,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663414,355240554,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663415,355241249,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663416,355241304,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663417,355241306,web service,rest,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663418,355241374,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663419,355241425,controller,javascript controller,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663420,355241749,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663421,355241749,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663422,355241765,controller,javascript controller,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663423,355241776,controller,javascript controller,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663424,355241794,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663425,355241863,test,test,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663426,355241912,asynchronous,batch,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
4663427,355241915,asynchronous,schedulable,,2026-05-04T00:45:15.477Z,2026-05-04T00:45:15.477Z
