label,id,itemId,name,count,apiName,description,userLicense,editReadonlyFields,manageLoginAccessPolicies,managePasswordPolicies,manageProfilesPermissionsets,manageRoles,manageSharing,manageUsers,modifyAllData,resetPasswords,viewAllData,exportReport,dataExport,modifyAllPermission,apiEnabled,authorApex,canApproveUninstalledApps,namespace,isCustom,createdAt,updatedAt
EM Test,2706444,355256979,EM Test,0,EM_Test,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
ESC,2706445,355256980,ESC,1,ESC,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.448Z
Experience Profile Manager,2706446,355256981,Experience Profile Manager,0,Experience_Profile_Manager,,Salesforce,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
External Data Access,2706447,355256982,External Data Access,2,External_Data_Access,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.452Z
Form Reader Demo,2706448,355256983,Form Reader Demo,1,Form_Reader_Demo,Enables objects and stuff for the Form Reader demo,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.455Z
Live Agent,2706449,355256984,Live Agent,2,Live_Agent,,Salesforce,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.458Z
MBGrantMAD,2706450,355256985,MBGrantMAD,0,MBGrantMAD,,,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Manage Customer Users,2706451,355256986,Manage Customer Users,1,Manage_Customer_Users,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.461Z
Mobile Security,2706452,355256987,Mobile Security,2,Mobile_Security,,Salesforce,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.465Z
Agentforce Agent MultiTopicNavigation Permissions,2706453,355256988,Agentforce Agent MultiTopicNavigation Permissions,0,NextGen_1bYIg0000008OIqMAM_Permissions,Allows custom permissions for Agentforce Agent.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Archive Abort Activity,2706454,355256989,Archive Abort Activity,2,OB_Archiver__Archive_Abort,Provides the capability to abort operation the Archive application.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.467Z
Archive Analyzer,2706455,355256990,Archive Analyzer,2,OB_Archiver__Archive_Analyzer,Access to run storage analysis via the home page.,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.470Z
Archive Override Widget Restriction Rules,2706456,355256991,Archive Override Widget Restriction Rules,1,OB_Archiver__Archive_Override_Widget_Restriction_Rules,"Users with this permission set, will not have restriction rules applied for them when using the widget.",,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.473Z
Archive Legal Hold Admin,2706458,355256993,Archive Legal Hold Admin,2,OB_Archiver__ArchiverLegalHold,"Provide access to perform legal hold, unhold, search and export of legal hold data",,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.479Z
Archive Activities,2706459,355256994,Archive Activities,2,OB_Archiver__Archiver_Activities,User gain access to the activities tab.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.482Z
Archive FLS,2706460,355256995,Archive FLS,1,OB_Archiver__Archiver_FLS,User has access to fls report tab to run fls report.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.485Z
Privacy Center ESC,2706461,355257013,Privacy Center ESC,2,PrivacyCenterESC,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.489Z
Archive Home Page,2706462,355256996,Archive Home Page,2,OB_Archiver__Archiver_Home_Page,Permission set for accessing home page,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.492Z
Archive Policy Permission,2706463,355256997,Archive Policy Permission,2,OB_Archiver__Archiver_Policy_Permission,Create policies,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.495Z
Archive Settings,2706464,355256998,Archive Settings,2,OB_Archiver__Archiver_Settings,Allow user to open Archive settings.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.498Z
Archive View Archived Records,2706465,355256999,Archive View Archived Records,3,OB_Archiver__Archiver_View_Archived_Records,Enable a user to view archived records in the VF page.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.501Z
Archive Admin,2706466,355257000,Archive Admin,3,OB_Archiver__ArchivingPermissionSet,Provides the capability to manage archiving policies in the Archive application. Note: be aware managing archive policies entails the ability to delete records. Typically only Admins have this permission.,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.504Z
Archive Enable Export,2706467,355257001,Archive Enable Export,2,OB_Archiver__Export,Provides the capability to export records the Archive application.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.507Z
Export Abort Activity,2706468,355257002,Export Abort Activity,0,OB_Archiver__Export_Abort,Provides the capability to abort operation the Own Export application.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Archive Legal Hold Table,2706469,355257003,Archive Legal Hold Table,1,OB_Archiver__Legal_Hold_Table,PAccess to legal hold report,Salesforce,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.510Z
Archive Purge Policy Permission,2706470,355257004,Archive Purge Policy Permission,2,OB_Archiver__Purge_Policy_Permission,Create purge policies,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.513Z
Archive Enable Unarchive,2706471,355257005,Archive Enable Unarchive,4,OB_Archiver__Unarchive,Provides the capability to unarchive records the Archive application.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.516Z
Unarchive Abort Activity,2706472,355257006,Unarchive Abort Activity,0,OB_Archiver__Unarchive_Abort,Provides the capability to abort operation the Own Unarchive application.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,OB_Archiver,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Offline Custom Objects,2706473,355257007,Offline Custom Objects,0,Offline_Custom_Objects,Assign permission to access custom objects in mobile offline app,Salesforce,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Perm_Set_forDefault_Preference_Manager_Configuration,2706475,355257009,Perm_Set_forDefault_Preference_Manager_Configuration,0,Perm_Set_forDefault_Preference_Manager_Configuration,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Platform Case Access,2706476,355257010,Platform Case Access,0,Platform_Case_Access,,CompanyCommunityPsl,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Platform Encryption,2706477,355257011,Platform Encryption,3,Platform_Encryption,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.522Z
Policy Center - Manage Policies,2706478,355257012,Policy Center - Manage Policies,1,Policy_Center_Manage_Policies,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.525Z
Promote Packages,2706479,355257014,Promote Packages,1,Promote_Packages,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.528Z
Ready to Fly,2706480,355257015,Ready to Fly,4,Ready_to_Fly,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.531Z
Social Customer Service Inbound Automation,2706482,355257017,Social Customer Service Inbound Automation,1,Salesforce_Social_Customer_Service_Run_As_User,Automatically process inbound social content and execute Social Customer Service Apex. Don't change the permission set's API name.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.537Z
Security Center,2706483,355257018,Security Center,13,Security_Center,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.539Z
Security Center Agent,2706484,355257019,Security Center Agent,1,Security_Center_Agent,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.542Z
Testing Splunk Alert PermChange,2706485,355257020,Testing Splunk Alert PermChange,2,Splunk_Alert_permchange,Testing Splunk Alert PermChange,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.545Z
View Real-Time Event Monitoring Data Custom,2706486,355257021,View Real-Time Event Monitoring Data Custom,0,View_Real_Time_Event_Monitoring_Data_Custom,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
BackupRestore,2706487,355257022,BackupRestore,2,bar__BackupRestore,Grants access to the application Backup and Restore.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bar,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.548Z
Data Mask,2706488,355257023,Data Mask,6,datamask__DataMask,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,datamask,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.551Z
eBikes Platform PS,2706489,355257024,eBikes Platform PS,0,eBikes_Platform_PS,,Salesforce Platform,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
ebikes,2706490,355257025,ebikes,1,ebikes,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.554Z
Einstein Playground,2706491,355257026,Einstein Playground,2,einsteinplay__Einstein_Playground,Enables access to Einstein Vision and Language Model Builder Classes,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,einsteinplay,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.556Z
github,2706492,355257027,github,1,github,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.559Z
Org Check Users,2706493,355257028,Org Check Users,1,orgcheck__OrgCheck_Users_PS,Permission Set for Org Check's users. This includes the right to see the app and its main custom tab.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,orgcheck,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.562Z
Privacy Center,2706494,355257029,Privacy Center,10,privacycenter__PrivacyCenter,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,privacycenter,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.565Z
Security Center Extension Data Classifier,2706495,355257030,Security Center Extension Data Classifier,3,sc_ext__Security_Center_Extension_Data_Classifier,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sc_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.568Z
Security Center Extension Modify Config,2706496,355257031,Security Center Extension Modify Config,3,sc_ext__Security_Center_Extension_Modify_Config,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sc_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.572Z
Security Center Extension Security Insights Manager,2706497,355257032,Security Center Extension Security Insights Manager,4,sc_ext__Security_Center_Extension_Security_Insights_Manager,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sc_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.575Z
Security Center Extension Security Insights Read Only,2706499,355257034,Security Center Extension Security Insights Read Only,3,sc_ext__Security_Center_Extension_Security_Insights_Read_Only,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,sc_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.581Z
Security Center Extension Super User,2706500,355257035,Security Center Extension Super User,4,sc_ext__Security_Center_Extension_Super_User,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sc_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.584Z
Security Center Extension View Data Classification Tab,2706501,355257036,Security Center Extension View Data Classification Tab,4,sc_ext__Security_Center_Extension_View_Data_Classification,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sc_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.587Z
Security Center Extension Who Sees What Explorer,2706502,355257037,Security Center Extension Who Sees What Explorer,4,sc_ext__Security_Center_Extension_Who_Sees_What_Explorer,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,sc_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.590Z
sf_devops_InitializeEnvironments,2706503,355257038,sf_devops_InitializeEnvironments,2,sf_devops_InitializeEnvironments,Allows managers of the DevOps Center to manage connections to development environments. This requires the Modify Metadata Through Metadata API Functions and Customize Application permissions.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.593Z
sf_devops_NamedCredentials,2706504,355257039,sf_devops_NamedCredentials,1,sf_devops_NamedCredentials,Grants access to the Named Credentials needed to authenticate to work environments. Created and maintained automatically by DevOps Center.,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.596Z
DevOps Center,2706505,355257040,DevOps Center,4,sf_devops__DevOps_Center,Provides the data access and permissions needed to manage customizations for DevOps Center work items. Includes access to work environments. Typically applied to team members who work on DevOps Center projects.,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sf_devops,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.599Z
DevOps Center Manager,2706506,355257041,DevOps Center Manager,4,sf_devops__DevOps_CenterManager,"Provides the data access and permissions needed to set up DevOps Center projects, environments, work items, and users.",,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sf_devops,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.602Z
DevOps Center Release Manager,2706507,355257042,DevOps Center Release Manager,4,sf_devops__DevOps_CenterRelease,Provides the data access and permissions needed to manage releases in the DevOps.,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sf_devops,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.605Z
Customer 360 Data Platform Integration,2706508,355257043,Customer 360 Data Platform Integration,1,sfdcInternalInt__sfdc_a360,Allows access to enable Customer 360 Data Platform to properly function.,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,sfdcInternalInt,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.608Z
Data Cloud Salesforce Connector,2706509,355257044,Data Cloud Salesforce Connector,1,sfdcInternalInt__sfdc_a360_sfcrm_data_extract,Allows object and field access for ingestion to Data Cloud.,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sfdcInternalInt,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.611Z
Data Mask And Seed,2706510,355257045,Data Mask And Seed,1,sfdcInternalInt__sfdc_accelerate_dms,Data Mask and Seed permissions.,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sfdcInternalInt,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.614Z
AI Platform,2706512,355257047,AI Platform,1,sfdcInternalInt__sfdc_aiplatform,AI Platform Permission Set,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,sfdcInternalInt,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.620Z
Chatbot,2706513,355257048,Chatbot,1,sfdcInternalInt__sfdc_chatbot,Chatbot Permission Set,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,sfdcInternalInt,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.623Z
Einstein Prediction Builder,2706515,355257050,Einstein Prediction Builder,1,sfdcInternalInt__sfdc_predictionbuilder,Einstein Prediction Builder Permission Set,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,sfdcInternalInt,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.629Z
SCRT2 Integration User,2706516,355257051,SCRT2 Integration User,1,sfdcInternalInt__sfdc_scrt2,Give SCRT2 Integration User necessary access,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,sfdcInternalInt,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.632Z
sfdc.aiplanner.service.permset,2706517,355257052,sfdc.aiplanner.service.permset,2,sfdc_aiplanner_service_permset,,,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.636Z
Security Center Extension Security Insights Policy Manager,2706518,355257053,Security Center Extension Security Insights Policy Manager,4,shield_ext__Security_Center_Extension_Security_Insights_Policy_Manager,This Permission Set will allow users to Manage Policies in Security Center Extension. This includes dismissing results in the Security Insights User Interface.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,shield_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.639Z
Shield Extension Field Audit Trail User,2706519,355257054,Shield Extension Field Audit Trail User,2,shield_ext__Shield_Extension_Field_Audit_Trail_User,The Permission set for a user who has full access to Shield Extension for Field Audit Trail.,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,shield_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.642Z
Shield Extension Field Audit Trail User: Field History Explorer,2706520,355257055,Shield Extension Field Audit Trail User: Field History Explorer,2,shield_ext__Shield_Extension_Field_Audit_Trail_User_FHE,The Permission set for a user who can only access the Field History Explorer section of Shield Extension for Field Audit Trail.,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,shield_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.645Z
Shield Extension Field Audit Trail User: History Retention Policy Manager,2706521,355257056,Shield Extension Field Audit Trail User: History Retention Policy Manager,2,shield_ext__Shield_Extension_Field_Audit_Trail_User_HRP,The Permission set for a user who can only access the History Retention Policy Manager section of Shield Extension for Field Audit Trail.,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,shield_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.648Z
Shield Extension Modify Config,2706522,355257057,Shield Extension Modify Config,1,shield_ext__Shield_Extension_Modify_Config,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,shield_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.652Z
Shield Extension Platform Encryption Analyst,2706523,355257058,Shield Extension Platform Encryption Analyst,2,shield_ext__Shield_Extension_Platform_Encryption_Analyst,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,shield_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.655Z
Shield Extension Super User,2706524,355257059,Shield Extension Super User,1,shield_ext__Shield_Extension_Super_User,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,shield_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.658Z
Shield Extension View Platform Encryption Analysis Tab,2706525,355257060,Shield Extension View Platform Encryption Analysis Tab,0,shield_ext__Shield_Extension_View_Platform_Encryption_Analysis_Tab,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,shield_ext,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Streaming Monitor,2706526,355257061,Streaming Monitor,1,smon__Streaming_Monitor,Permission to access Streaming Monitor App,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,smon,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.661Z
FieldSpy,2706527,355257062,FieldSpy,0,sonar__FieldSpy,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,sonar,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
TSP Accelerator,2706528,355257063,TSP Accelerator,1,trxsecurity__TSP_Accelerator,"Grants access to the TSP Accelerator application including all Apex classes, Lightning Web Components, Custom Metadata Types, and permissions needed to deploy and manage Transaction Security Policies.",,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,trxsecurity,true,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.664Z
CRM Analytics for Sales Cloud,2706529,,CRM Analytics for Sales Cloud,0,force__ActivitiesWaveAdmin,View and manage CRM Analytics for Sales Cloud,Analytics Template Administration,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,force,false,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
ActorCASCPermSet,2706530,,ActorCASCPermSet,0,force__ActorCASCPermSet,,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,force,false,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Analytics View Only User,2706531,,Analytics View Only User,0,force__AnalyticsViewOnlyUser,User permissions for View-only licensed apps.,Analytics View Only Embedded App,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,force,false,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Agentic Near Core CRM,2706532,,Agentic Near Core CRM,0,force__AncCrmIntegrationUser,Allows the integration user to use crm features,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,force,false,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Agentic Near Core Marketing,2706533,,Agentic Near Core Marketing,0,force__AncMarketingIntegrationUser,Allows the integration user to use marketing features,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,force,false,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Agentic Near Core Personalization,2706534,,Agentic Near Core Personalization,0,force__AncPersonalizationIntegrationUser,Allows the integration user to use personalization features,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,force,false,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Agentic Near Core Provisioning,2706535,,Agentic Near Core Provisioning,0,force__AncProvisioningIntegrationUser,Allows the integration user to manage connections between tenants,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,force,false,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
Salesforce Apex Guru,2706536,,Salesforce Apex Guru,0,force__ApexGuruStandardPermSet,Gives Apex Guru access to analyze code for anti patterns.,Cloud Integration User,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,force,false,2026-05-04T00:47:07.051Z,2026-05-04T00:47:07.051Z
