label,id,itemId,name,count,custom,userLicense,editReadonlyFields,manageLoginAccessPolicies,managePasswordPolicies,manageProfilesPermissionsets,manageRoles,manageSharing,manageUsers,modifyAllData,resetPasswords,viewAllData,exportReport,dataExport,modifyAllPermission,apiEnabled,authorApex,canApproveUninstalledApps,createdAt,updatedAt
ServiceCloud,577399,355257121,ServiceCloud,0,false,Service Cloud,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.300Z
Silver Partner User,577400,355257122,Silver Partner User,0,false,Silver Partner,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.304Z
Siteforce Only User,577401,355257123,Siteforce Only User,0,false,Siteforce Only,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.308Z
SolutionManager,577402,355257124,SolutionManager,0,false,Salesforce,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.311Z
Standard,577403,355257125,Standard,0,false,Salesforce,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.314Z
StandardAul,577404,355257126,StandardAul,0,false,Salesforce Platform,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.317Z
StandardAul1,577405,355257127,StandardAul1,0,false,Salesforce Platform One,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.320Z
StandardPartner,577406,355257128,StandardPartner,0,false,Standard Partner,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.323Z
Work.com Only User,577407,355257130,Work.com Only User,0,false,Work.com Only,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.326Z
preferencedemo Profile,577408,355257131,preferencedemo Profile,1,true,Guest User License,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.329Z
testsite Profile,577409,355257132,testsite Profile,1,true,Guest User License,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2026-05-04T00:47:05.882Z,2026-05-04T00:47:06.332Z
